Date,Open*,High,Low,Close**,Volume,Market Cap
"Aug 31, 2020",88.24,88.82,86.24,86.80,"244,856,908","840,665,741"
"Aug 30, 2020",85.43,88.77,85.34,88.20,"277,927,374","854,081,661"
"Aug 29, 2020",85.20,86.63,84.73,85.47,"230,804,716","827,480,220"
"Aug 28, 2020",83.56,85.89,82.87,85.21,"262,078,660","824,399,985"
"Aug 27, 2020",86.06,86.65,82.39,83.58,"320,763,922","808,562,074"
"Aug 26, 2020",85.04,87.35,84.14,86.13,"298,266,221","833,063,119"
"Aug 25, 2020",91.98,91.98,83.79,85.16,"302,784,936","823,521,752"
"Aug 24, 2020",91.63,93.12,90.00,91.95,"193,938,722","889,047,233"
"Aug 23, 2020",91.05,92.81,88.45,91.64,"197,719,136","885,888,021"
"Aug 22, 2020",87.43,91.10,86.07,91.10,"213,957,533","880,596,153"
"Aug 21, 2020",91.59,95.39,87.43,87.48,"302,272,083","845,401,763"
"Aug 20, 2020",88.16,91.71,87.60,91.58,"204,144,747","884,878,573"
"Aug 19, 2020",93.07,93.92,87.82,88.13,"284,015,246","851,474,729"
"Aug 18, 2020",97.52,98.47,92.86,93.27,"273,893,768","900,913,544"
"Aug 17, 2020",95.10,99.80,93.59,97.54,"374,580,441","942,027,874"
"Aug 16, 2020",94.21,95.32,92.31,95.10,"265,020,922","918,275,637"
"Aug 15, 2020",92.08,95.42,91.97,94.14,"323,844,514","908,930,288"
"Aug 14, 2020",93.78,94.04,91.11,92.11,"307,708,892","889,166,189"
"Aug 13, 2020",92.51,94.18,86.77,93.80,"325,340,592","905,290,566"
"Aug 12, 2020",88.88,92.75,85.25,92.54,"353,623,728","893,018,029"
"Aug 11, 2020",95.65,96.59,86.69,88.88,"366,385,092","857,579,390"
"Aug 10, 2020",97.79,98.65,95.41,95.66,"306,005,369","922,861,821"
"Aug 09, 2020",98.23,98.98,95.47,97.64,"314,807,530","941,794,718"
"Aug 08, 2020",96.99,102.12,95.18,98.07,"355,970,818","945,779,285"
"Aug 07, 2020",100.58,103.48,94.02,96.96,"520,518,652","934,921,558"
"Aug 06, 2020",92.32,104.35,90.74,100.56,"621,631,646","969,424,514"
"Aug 05, 2020",86.88,93.17,86.32,92.34,"370,531,018","890,091,986"
"Aug 04, 2020",87.66,88.74,86.12,86.84,"256,984,183","836,931,031"
"Aug 03, 2020",85.05,89.19,84.26,87.66,"332,810,226","844,697,406"
"Aug 02, 2020",92.79,94.60,83.65,84.99,"449,660,070","818,850,818"
"Aug 01, 2020",82.55,93.38,82.03,92.66,"472,450,068","892,578,809"
