Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 30, 2020",68.60,69.11,66.89,69.11,"266,434,156","672,929,836"
"Sep 29, 2020",67.51,68.79,67.04,68.66,"286,638,250","668,442,760"
"Sep 28, 2020",68.75,70.04,67.52,67.52,"296,838,687","657,255,402"
"Sep 27, 2020",69.18,69.89,67.43,68.75,"284,471,075","668,764,056"
"Sep 26, 2020",68.51,69.63,68.51,69.18,"298,621,240","672,887,416"
"Sep 25, 2020",67.82,69.33,66.80,68.55,"293,467,987","666,612,850"
"Sep 24, 2020",65.03,68.19,64.66,67.81,"296,822,631","659,308,637"
"Sep 23, 2020",68.17,69.82,64.71,65.06,"269,346,128","632,497,795"
"Sep 22, 2020",67.02,68.95,66.86,68.17,"293,589,381","662,638,907"
"Sep 21, 2020",70.81,71.60,65.62,67.06,"339,693,582","651,702,095"
"Sep 20, 2020",72.94,73.12,70.02,70.77,"314,553,225","687,640,191"
"Sep 19, 2020",72.23,73.49,71.73,73.04,"321,273,259","709,589,408"
"Sep 18, 2020",73.42,73.64,71.01,72.26,"309,323,622","701,863,941"
"Sep 17, 2020",73.42,74.73,71.68,73.42,"313,200,144","713,086,587"
"Sep 16, 2020",73.19,74.35,71.67,73.35,"289,772,804","712,274,870"
"Sep 15, 2020",75.29,75.99,73.16,73.22,"303,150,473","710,856,418"
"Sep 14, 2020",74.94,77.57,73.91,75.37,"6,764,861,637","731,633,300"
"Sep 13, 2020",79.59,79.69,73.57,75.00,"13,822,922,696","727,911,043"
"Sep 12, 2020",76.92,80.06,76.18,79.59,"14,082,288,712","772,288,325"
"Sep 11, 2020",77.04,77.89,74.35,76.98,"13,206,239,580","746,924,104"
"Sep 10, 2020",75.79,78.63,75.10,77.04,"13,867,464,165","747,303,746"
"Sep 09, 2020",74.57,77.21,74.38,75.78,"203,152,467","734,984,830"
"Sep 08, 2020",75.96,77.52,71.09,74.55,"338,941,249","722,907,522"
"Sep 07, 2020",70.21,76.36,66.43,75.95,"362,283,861","736,389,168"
"Sep 06, 2020",67.98,71.45,66.64,70.22,"254,709,380","680,733,485"
"Sep 05, 2020",72.96,73.95,65.64,67.98,"302,143,280","658,923,348"
"Sep 04, 2020",67.57,73.78,67.45,72.97,"354,077,024","707,158,784"
"Sep 03, 2020",83.38,83.42,66.09,67.67,"311,969,736","655,736,656"
"Sep 02, 2020",89.36,89.54,81.65,83.31,"325,340,581","807,070,750"
"Sep 01, 2020",86.70,90.47,85.77,89.28,"343,476,338","864,822,741"
