Date,Open*,High,Low,Close**,Volume,Market Cap
"Apr 30, 2015",2.97,3.02,2.89,2.97,"84,240.90","15,835,492"
"Apr 29, 2015",3.02,3.05,2.89,2.97,"30,505.70","15,829,067"
"Apr 28, 2015",2.99,3.06,2.91,3.04,"68,693.00","16,164,955"
"Apr 27, 2015",3.05,3.16,2.92,2.99,"88,755.20","15,917,791"
"Apr 26, 2015",3.10,3.10,2.93,3.05,"95,531.70","16,223,721"
"Apr 25, 2015",3.19,3.29,3.07,3.10,"56,721.40","16,448,863"
"Apr 24, 2015",3.63,3.63,3.06,3.18,"184,435","16,897,466"
"Apr 23, 2015",3.25,3.74,3.10,3.63,"275,604","19,240,999"
"Apr 22, 2015",2.89,3.35,2.87,3.25,"191,228","17,215,536"
"Apr 21, 2015",2.65,2.91,2.62,2.89,"80,102.50","15,317,444"
"Apr 20, 2015",2.80,2.83,2.65,2.65,"112,126","14,046,649"
"Apr 19, 2015",2.93,2.93,2.78,2.80,"57,968.60","14,838,952"
"Apr 18, 2015",2.83,2.93,2.80,2.93,"45,925.00","15,492,661"
"Apr 17, 2015",3.01,3.03,2.78,2.83,"118,954","14,987,771"
"Apr 16, 2015",3.02,3.10,2.98,3.01,"83,053.50","15,918,376"
"Apr 15, 2015",3.10,3.12,2.98,3.02,"82,324.40","15,969,818"
"Apr 14, 2015",3.19,3.21,3.06,3.10,"68,149.10","16,369,475"
"Apr 13, 2015",3.31,3.32,3.15,3.21,"93,897.10","16,963,164"
"Apr 12, 2015",3.34,3.41,3.26,3.30,"46,830.30","17,401,276"
"Apr 11, 2015",3.24,3.43,3.24,3.33,"87,372.90","17,588,745"
"Apr 10, 2015",3.42,3.45,3.09,3.23,"185,593","17,046,957"
"Apr 09, 2015",3.68,3.87,3.38,3.42,"172,424","18,021,293"
"Apr 08, 2015",3.77,3.86,3.55,3.68,"144,498","19,389,736"
"Apr 07, 2015",4.09,4.12,3.72,3.78,"205,259","19,908,045"
"Apr 06, 2015",4.17,4.23,4.03,4.09,"115,405","21,525,605"
"Apr 05, 2015",4.12,4.21,3.95,4.17,"136,532","21,939,774"
"Apr 04, 2015",4.36,4.37,3.95,4.13,"185,199","21,680,884"
"Apr 03, 2015",4.52,4.56,4.28,4.36,"138,373","22,880,027"
"Apr 02, 2015",3.82,4.60,3.82,4.54,"271,324","23,810,053"
"Apr 01, 2015",4.02,4.02,3.70,3.83,"242,957","20,119,959"
