Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2015",3.52,3.61,3.08,3.27,"191,862","19,974,354"
"Dec 30, 2015",3.09,4.65,3.09,3.52,"524,544","21,441,784"
"Dec 29, 2015",3.03,3.09,2.92,3.09,"141,636","18,818,947"
"Dec 28, 2015",2.64,3.05,2.63,2.98,"88,281.00","18,160,252"
"Dec 27, 2015",2.73,2.73,2.60,2.65,"37,589.80","16,121,908"
"Dec 26, 2015",2.83,2.98,2.68,2.77,"96,357.30","16,865,545"
"Dec 25, 2015",2.77,2.94,2.72,2.83,"99,786.00","17,206,658"
"Dec 24, 2015",2.53,2.78,2.53,2.77,"83,730.00","16,854,216"
"Dec 23, 2015",2.55,2.60,2.48,2.53,"51,743.70","15,386,345"
"Dec 22, 2015",2.47,2.60,2.46,2.55,"47,645.60","15,505,406"
"Dec 21, 2015",2.50,2.51,2.41,2.47,"43,767.20","15,024,678"
"Dec 20, 2015",2.61,2.64,2.46,2.49,"39,518.40","15,152,178"
"Dec 19, 2015",2.65,2.69,2.58,2.61,"27,223.20","15,847,861"
"Dec 18, 2015",2.61,2.65,2.58,2.65,"39,821.20","16,076,048"
"Dec 17, 2015",2.69,2.69,2.57,2.61,"40,819.30","15,841,763"
"Dec 16, 2015",2.69,2.73,2.55,2.69,"46,530.20","16,292,470"
"Dec 15, 2015",2.69,2.76,2.64,2.68,"58,881.70","16,274,725"
"Dec 14, 2015",2.76,2.89,2.68,2.69,"102,466","16,292,270"
"Dec 13, 2015",2.59,2.75,2.54,2.73,"67,091.40","16,551,885"
"Dec 12, 2015",2.70,2.79,2.43,2.58,"47,863.90","15,624,549"
"Dec 11, 2015",2.44,2.71,2.44,2.69,"46,392.70","16,297,363"
"Dec 10, 2015",2.50,2.52,2.44,2.44,"31,690.40","14,761,437"
"Dec 09, 2015",2.41,2.70,2.37,2.51,"121,460","15,197,866"
"Dec 08, 2015",2.33,2.40,2.28,2.40,"44,092.70","14,500,062"
"Dec 07, 2015",2.33,2.38,2.29,2.33,"40,494.70","14,097,123"
"Dec 06, 2015",2.32,2.47,2.31,2.34,"55,269.50","14,153,997"
"Dec 05, 2015",2.35,2.44,2.29,2.32,"61,252.10","14,022,836"
"Dec 04, 2015",2.33,2.36,2.30,2.34,"36,114.40","14,108,989"
"Dec 03, 2015",2.19,2.40,2.19,2.34,"77,348.90","14,095,110"
"Dec 02, 2015",2.09,2.19,2.03,2.18,"45,287.70","13,168,931"
"Dec 01, 2015",2.17,2.18,2.05,2.08,"37,006.70","12,570,186"
