Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 30, 2016",12.04,12.25,11.74,12.10,"624,527","81,933,732"
"Sep 29, 2016",11.59,12.15,11.58,12.01,"627,955","81,342,533"
"Sep 28, 2016",11.64,11.64,11.47,11.59,"380,292","78,468,779"
"Sep 27, 2016",11.41,11.64,11.38,11.64,"437,637","78,775,522"
"Sep 26, 2016",11.56,11.61,11.30,11.41,"466,947","77,183,612"
"Sep 25, 2016",11.52,11.66,11.46,11.55,"293,042","78,119,549"
"Sep 24, 2016",11.55,11.60,11.43,11.53,"248,501","77,964,322"
"Sep 23, 2016",11.52,11.70,11.40,11.54,"346,538","78,014,343"
"Sep 22, 2016",11.54,11.70,11.32,11.54,"462,190","77,988,538"
"Sep 21, 2016",11.47,11.72,11.17,11.53,"639,852","77,887,573"
"Sep 20, 2016",11.52,11.58,11.23,11.41,"447,288","77,021,125"
"Sep 19, 2016",11.68,11.75,11.35,11.54,"548,366","77,875,072"
"Sep 18, 2016",11.77,11.85,11.61,11.64,"378,121","78,547,201"
"Sep 17, 2016",11.72,11.93,11.54,11.78,"385,226","79,457,111"
"Sep 16, 2016",12.21,12.27,11.64,11.72,"519,023","79,026,407"
"Sep 15, 2016",12.74,12.74,12.14,12.21,"592,210","82,346,375"
"Sep 14, 2016",13.00,13.00,12.36,12.71,"683,059","85,651,661"
"Sep 13, 2016",12.31,13.00,12.10,13.00,"775,508","87,591,945"
"Sep 12, 2016",11.16,12.82,11.10,12.26,"1,357,900","82,571,280"
"Sep 11, 2016",11.42,11.62,10.96,11.14,"583,102","75,009,150"
"Sep 10, 2016",11.20,11.47,11.01,11.42,"748,265","76,885,261"
"Sep 09, 2016",11.68,11.68,11.14,11.22,"453,318","75,479,090"
"Sep 08, 2016",11.28,11.69,11.24,11.69,"637,683","78,648,795"
"Sep 07, 2016",10.94,11.40,10.83,11.28,"669,651","75,888,112"
"Sep 06, 2016",11.27,11.36,10.92,10.92,"532,044","73,416,570"
"Sep 05, 2016",11.36,11.69,11.13,11.27,"639,547","75,726,015"
"Sep 04, 2016",11.36,11.56,10.72,11.39,"966,253","76,412,711"
"Sep 03, 2016",11.37,11.54,10.85,11.45,"1,215,250","76,795,285"
"Sep 02, 2016",11.46,11.55,11.33,11.36,"790,593","76,166,475"
"Sep 01, 2016",11.89,11.93,11.37,11.45,"651,970","76,780,310"
