Date,Open*,High,Low,Close**,Volume,Market Cap
"Jul 31, 2018",457.25,457.25,430.44,433.87,"1,820,680,000","43,839,034,237"
"Jul 30, 2018",466.83,467.95,448.64,457.08,"2,141,590,000","46,175,217,427"
"Jul 29, 2018",466.92,470.36,462.71,466.67,"1,631,910,016","47,133,881,666"
"Jul 28, 2018",469.68,471.59,462.99,466.90,"1,531,890,048","47,147,853,886"
"Jul 27, 2018",464.01,473.22,458.29,469.67,"1,734,259,968","47,417,755,376"
"Jul 26, 2018",472.33,483.70,461.42,464.04,"1,621,560,064","46,839,932,193"
"Jul 25, 2018",479.91,482.87,466.47,472.49,"1,930,780,032","47,683,830,874"
"Jul 24, 2018",451.14,481.14,450.57,479.37,"2,287,520,000","48,368,209,917"
"Jul 23, 2018",459.44,469.77,449.73,450.85,"1,596,999,936","45,481,301,491"
"Jul 22, 2018",462.44,470.90,458.12,459.66,"1,338,589,952","46,360,029,757"
"Jul 21, 2018",450.68,468.08,445.78,462.44,"1,504,310,016","46,630,720,739"
"Jul 20, 2018",469.31,469.31,443.69,450.70,"1,821,350,016","45,437,819,522"
"Jul 19, 2018",480.63,483.24,465.14,469.62,"2,068,739,968","47,335,899,963"
"Jul 18, 2018",500.84,513.43,474.36,480.51,"2,371,559,936","48,424,155,624"
"Jul 17, 2018",480.08,508.78,468.92,501.00,"2,288,100,096","50,478,766,285"
"Jul 16, 2018",450.42,480.66,446.80,480.66,"1,858,680,064","48,419,026,521"
"Jul 15, 2018",435.88,454.00,433.92,449.85,"1,350,160,000","45,306,414,380"
"Jul 14, 2018",434.51,439.43,431.47,436.09,"1,235,820,032","43,911,193,561"
"Jul 13, 2018",430.74,442.36,430.74,434.03,"1,489,670,016","43,694,988,769"
"Jul 12, 2018",446.50,446.50,422.81,430.07,"1,495,440,000","43,288,294,177"
"Jul 11, 2018",434.52,447.32,429.51,446.52,"1,422,470,016","44,934,271,235"
"Jul 10, 2018",476.16,478.32,433.96,434.42,"1,789,069,952","43,708,241,775"
"Jul 09, 2018",488.88,490.85,475.17,476.68,"1,533,799,936","47,950,212,027"
"Jul 08, 2018",492.07,503.20,488.42,489.12,"1,344,560,000","49,191,161,178"
"Jul 07, 2018",474.06,491.66,466.84,491.66,"1,358,360,064","49,436,674,025"
"Jul 06, 2018",474.36,479.65,457.61,474.01,"1,627,609,984","47,652,424,064"
"Jul 05, 2018",467.29,483.23,464.63,474.41,"1,828,610,048","47,682,968,020"
"Jul 04, 2018",464.15,481.44,455.18,467.32,"1,549,769,984","46,960,391,871"
"Jul 03, 2018",475.39,483.85,462.58,464.20,"1,683,939,968","46,637,067,239"
"Jul 02, 2018",453.82,479.13,447.11,475.35,"1,625,789,952","47,747,743,959"
"Jul 01, 2018",455.24,457.14,446.39,453.92,"1,511,730,048","45,585,861,718"
