Date,Open*,High,Low,Close**,Volume,Market Cap
"Oct 31, 2018",197.65,198.34,196.53,197.38,"1,442,380,000","20,314,628,127"
"Oct 30, 2018",197.20,198.12,196.35,197.56,"1,363,500,000","20,328,580,026"
"Oct 29, 2018",205.17,205.60,195.73,197.25,"1,517,230,000","20,292,811,278"
"Oct 28, 2018",204.51,205.92,203.52,205.37,"1,139,140,000","21,123,907,349"
"Oct 27, 2018",203.36,206.08,203.13,204.21,"1,084,810,000","21,000,852,987"
"Oct 26, 2018",202.34,204.78,201.55,203.33,"1,161,310,000","20,906,130,835"
"Oct 25, 2018",203.87,204.13,201.82,202.72,"1,102,900,000","20,839,259,066"
"Oct 24, 2018",204.13,205.58,203.35,203.85,"1,102,220,000","20,951,603,018"
"Oct 23, 2018",204.02,205.15,201.91,204.34,"1,237,490,000","20,997,181,867"
"Oct 22, 2018",205.17,206.93,203.38,204.04,"1,328,980,000","20,962,977,292"
"Oct 21, 2018",205.39,208.16,204.62,205.14,"1,190,300,000","21,071,630,786"
"Oct 20, 2018",203.52,206.22,203.09,205.43,"1,238,780,000","21,097,037,289"
"Oct 19, 2018",203.26,204.66,201.84,203.73,"1,264,480,000","20,917,973,393"
"Oct 18, 2018",207.40,208.47,201.74,203.35,"1,365,860,000","20,875,341,345"
"Oct 17, 2018",210.22,211.13,205.93,207.08,"1,444,130,000","21,254,117,736"
"Oct 16, 2018",209.63,212.17,207.98,210.12,"1,532,280,000","21,561,538,445"
"Oct 15, 2018",195.27,222.12,194.16,209.70,"2,865,830,000","21,514,574,462"
"Oct 14, 2018",199.69,201.83,195.24,195.72,"1,169,260,000","20,075,397,007"
"Oct 13, 2018",196.36,201.28,196.36,199.84,"1,167,610,000","20,494,529,773"
"Oct 12, 2018",188.71,199.40,188.71,196.73,"1,487,900,000","20,171,157,774"
"Oct 11, 2018",225.61,225.61,189.28,189.50,"2,167,620,000","19,426,181,717"
"Oct 10, 2018",227.62,227.71,224.50,225.77,"1,384,040,000","23,139,713,070"
"Oct 09, 2018",229.71,230.16,226.40,227.98,"1,405,130,000","23,361,891,401"
"Oct 08, 2018",226.51,230.77,224.56,229.26,"1,470,740,000","23,487,673,000"
"Oct 07, 2018",225.44,226.37,223.00,226.12,"1,470,480,000","23,161,767,973"
"Oct 06, 2018",227.55,227.93,224.25,225.12,"1,505,070,000","23,054,817,089"
"Oct 05, 2018",222.27,228.32,220.96,227.60,"1,547,330,000","23,304,234,601"
"Oct 04, 2018",220.45,226.15,220.09,222.22,"1,479,500,000","22,748,580,859"
"Oct 03, 2018",226.41,226.46,213.97,220.49,"1,683,930,000","22,567,089,086"
"Oct 02, 2018",231.10,231.17,225.84,227.18,"1,542,080,000","23,247,403,474"
"Oct 01, 2018",233.22,234.15,226.95,230.77,"1,597,500,000","23,609,728,018"
