Date,Open*,High,Low,Close**,Volume,Market Cap
"Aug 31, 2020",428.51,438.56,419.77,435.08,"12,774,741,797","48,909,170,052"
"Aug 30, 2020",399.62,428.66,399.61,428.40,"11,211,948,040","48,151,884,394"
"Aug 29, 2020",395.69,405.62,393.04,399.92,"8,777,703,481","44,945,899,480"
"Aug 28, 2020",382.63,397.76,381.27,395.87,"9,120,674,421","44,485,705,032"
"Aug 27, 2020",386.61,395.35,374.87,382.63,"10,457,777,652","42,992,439,543"
"Aug 26, 2020",383.98,391.87,378.71,386.47,"9,967,343,483","43,417,926,668"
"Aug 25, 2020",408.07,408.53,374.36,384.00,"12,428,442,042","43,135,697,974"
"Aug 24, 2020",391.68,409.39,389.31,408.14,"10,328,860,398","45,842,265,023"
"Aug 23, 2020",395.56,396.49,385.04,391.38,"8,137,303,970","43,954,518,396"
"Aug 22, 2020",389.03,396.47,382.81,395.84,"10,131,847,985","44,448,918,222"
"Aug 21, 2020",416.15,418.64,387.44,389.13,"11,781,796,374","43,690,315,907"
"Aug 20, 2020",406.76,418.73,404.03,416.44,"10,043,032,427","46,751,356,941"
"Aug 19, 2020",423.74,427.02,396.68,406.46,"13,137,391,167","45,625,864,918"
"Aug 18, 2020",429.67,432.58,419.67,423.67,"11,978,984,079","47,551,407,033"
"Aug 17, 2020",433.97,442.73,422.65,429.53,"13,227,089,410","48,203,426,751"
"Aug 16, 2020",433.35,436.27,415.09,433.79,"12,168,816,874","48,675,162,267"
"Aug 15, 2020",437.56,441.75,429.87,433.35,"12,416,067,894","48,620,820,125"
"Aug 14, 2020",428.68,444.58,423.35,437.40,"15,064,589,987","49,068,474,083"
"Aug 13, 2020",390.84,432.90,379.71,428.74,"18,480,303,526","48,091,569,052"
"Aug 12, 2020",380.06,391.31,367.92,391.02,"12,408,772,745","43,855,501,072"
"Aug 11, 2020",395.89,398.48,370.86,380.38,"12,792,218,737","42,656,945,169"
"Aug 10, 2020",391.04,399.38,391.04,395.89,"11,685,827,893","44,390,142,137"
"Aug 09, 2020",395.31,399.74,385.83,391.12,"9,451,065,592","43,850,292,041"
"Aug 08, 2020",379.55,393.99,377.35,393.99,"9,342,060,531","44,166,324,646"
"Aug 07, 2020",395.23,398.25,367.94,379.51,"12,751,687,084","42,538,578,850"
"Aug 06, 2020",401.58,403.49,392.60,394.96,"11,304,626,458","44,264,836,294"
"Aug 05, 2020",389.71,406.30,386.22,401.59,"12,875,466,638","45,002,213,069"
"Aug 04, 2020",386.16,400.70,382.99,389.88,"14,086,704,221","43,684,129,572"
"Aug 03, 2020",371.13,396.51,369.34,386.30,"12,834,648,062","43,277,729,882"
"Aug 02, 2020",385.55,411.23,357.14,370.67,"18,909,744,275","41,522,323,563"
"Aug 01, 2020",345.80,388.85,343.59,385.20,"14,045,259,477","43,144,477,508"
