Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2017",712.21,760.35,710.12,756.73,"2,554,269,952","73,170,170,967"
"Dec 30, 2017",753.82,753.82,685.23,717.26,"3,187,780,096","69,338,470,696"
"Dec 29, 2017",740.39,770.12,729.61,753.59,"2,648,969,984","72,835,328,712"
"Dec 28, 2017",762.21,763.32,701.19,737.02,"2,389,149,952","71,219,054,808"
"Dec 27, 2017",774.97,789.25,738.41,762.84,"2,100,029,952","73,698,377,070"
"Dec 26, 2017",763.37,786.79,760.93,773.84,"2,201,159,936","74,744,613,931"
"Dec 25, 2017",698.87,782.52,698.87,765.83,"2,491,760,128","73,955,757,349"
"Dec 24, 2017",721.77,721.77,614.92,694.15,"2,300,549,888","67,019,237,420"
"Dec 23, 2017",681.32,763.90,679.73,719.39,"2,480,339,968","69,441,297,649"
"Dec 22, 2017",822.64,827.68,543.76,674.86,"4,977,710,080","65,129,109,277"
"Dec 21, 2017",820.24,880.54,792.69,821.06,"3,569,060,096","79,221,896,341"
"Dec 20, 2017",827.52,845.06,756.00,819.09,"3,969,939,968","79,014,430,828"
"Dec 19, 2017",793.90,881.94,785.34,826.82,"4,096,549,888","79,743,740,362"
"Dec 18, 2017",721.73,803.93,689.23,794.65,"3,249,230,080","76,623,897,492"
"Dec 17, 2017",696.24,735.83,696.24,719.97,"2,147,389,952","69,409,025,338"
"Dec 16, 2017",686.19,718.39,680.79,696.21,"2,165,690,112","67,103,695,920"
"Dec 15, 2017",696.38,697.13,621.06,684.45,"2,758,710,016","65,956,174,321"
"Dec 14, 2017",700.59,753.12,664.99,695.82,"3,821,580,032","67,036,917,107"
"Dec 13, 2017",644.91,747.99,597.80,702.77,"4,524,539,904","67,692,231,422"
"Dec 12, 2017",522.29,657.32,504.49,651.43,"5,179,829,760","62,733,982,232"
"Dec 11, 2017",440.36,516.97,439.10,515.14,"1,771,440,000","49,597,927,198"
"Dec 10, 2017",472.79,472.79,429.51,441.72,"1,404,179,968","42,520,479,602"
"Dec 09, 2017",457.34,504.15,456.25,473.50,"2,003,849,984","45,570,080,683"
"Dec 08, 2017",434.99,466.06,422.37,456.03,"2,336,379,904","43,879,256,076"
"Dec 07, 2017",426.37,441.40,414.41,434.41,"2,129,570,048","41,789,848,007"
"Dec 06, 2017",462.60,462.71,420.21,428.59,"1,998,259,968","41,220,997,942"
"Dec 05, 2017",470.29,473.56,457.66,463.28,"1,216,720,000","44,548,159,326"
"Dec 04, 2017",466.05,474.78,453.31,470.20,"1,005,550,016","45,204,145,125"
"Dec 03, 2017",463.70,482.81,451.85,465.85,"990,556,992","44,776,362,724"
"Dec 02, 2017",466.85,476.24,456.65,463.45,"943,649,984","44,535,863,933"
"Dec 01, 2017",445.21,472.61,428.31,466.54,"1,247,879,936","44,823,457,369"
