Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 31, 2019",168.64,169.04,167.38,168.94,"454,369,901","2,990,730,945"
"Mar 30, 2019",170.30,177.73,167.37,168.59,"581,569,997","2,984,272,263"
"Mar 29, 2019",169.35,172.16,166.46,170.45,"560,103,605","3,016,920,025"
"Mar 28, 2019",173.10,173.10,167.26,169.45,"545,985,641","2,998,993,454"
"Mar 27, 2019",160.51,174.17,160.05,173.18,"566,792,974","3,064,635,955"
"Mar 26, 2019",161.39,161.94,156.01,161.44,"448,350,663","2,856,498,863"
"Mar 25, 2019",166.11,166.70,158.66,161.62,"462,768,947","2,859,416,983"
"Mar 24, 2019",167.09,167.09,164.05,165.94,"400,180,522","2,935,530,185"
"Mar 23, 2019",158.13,170.05,157.70,167.41,"518,279,691","2,961,308,944"
"Mar 22, 2019",154.71,161.09,153.54,158.34,"373,689,646","2,800,577,106"
"Mar 21, 2019",160.79,161.29,150.56,154.77,"488,749,472","2,737,074,468"
"Mar 20, 2019",162.33,162.33,156.58,160.53,"394,747,561","2,838,778,127"
"Mar 19, 2019",162.60,163.19,157.81,162.43,"430,154,285","2,871,986,995"
"Mar 18, 2019",156.26,166.67,156.09,162.49,"635,931,669","2,872,870,544"
"Mar 17, 2019",157.44,158.67,148.71,156.08,"437,535,869","2,759,201,463"
"Mar 16, 2019",143.98,160.69,143.98,157.58,"648,403,250","2,785,421,758"
"Mar 15, 2019",133.79,146.74,132.94,143.99,"363,130,165","2,544,991,930"
"Mar 14, 2019",128.82,135.74,128.82,133.90,"388,641,464","2,366,317,917"
"Mar 13, 2019",129.19,129.72,127.92,128.93,"217,915,164","2,278,360,791"
"Mar 12, 2019",130.35,130.66,128.10,128.95,"232,279,797","2,278,392,927"
"Mar 11, 2019",132.86,133.40,128.23,130.20,"268,403,469","2,300,366,575"
"Mar 10, 2019",134.04,134.16,131.19,132.84,"274,459,921","2,346,643,092"
"Mar 09, 2019",129.42,136.38,128.36,133.82,"317,778,034","2,363,674,682"
"Mar 08, 2019",132.21,133.57,128.28,129.47,"301,191,835","2,286,681,068"
"Mar 07, 2019",133.29,135.03,131.26,132.16,"281,220,759","2,333,871,541"
"Mar 06, 2019",133.41,134.02,131.08,133.27,"281,163,956","2,353,268,980"
"Mar 05, 2019",124.96,134.16,124.52,132.51,"297,746,808","2,339,621,253"
"Mar 04, 2019",131.42,132.32,123.25,125.12,"307,511,335","2,208,988,908"
"Mar 03, 2019",132.57,133.28,131.07,131.56,"202,483,597","2,322,338,739"
"Mar 02, 2019",132.92,133.46,130.75,132.54,"234,304,188","2,339,431,979"
"Mar 01, 2019",132.08,134.83,131.93,132.96,"240,782,300","2,346,655,915"
