Date,Open*,High,Low,Close**,Volume,Market Cap
"Jul 31, 2017",39.67,40.68,38.94,39.84,"13,138,500","592,241,210"
"Jul 30, 2017",43.95,43.95,39.55,39.62,"11,709,500","588,802,954"
"Jul 29, 2017",43.69,44.37,42.19,43.89,"7,053,810","652,094,058"
"Jul 28, 2017",45.29,45.79,42.74,43.96,"18,694,500","652,874,043"
"Jul 27, 2017",45.92,46.74,43.93,45.24,"15,960,700","671,653,796"
"Jul 26, 2017",40.73,46.44,38.60,45.80,"26,033,100","679,818,692"
"Jul 25, 2017",45.55,45.84,38.24,40.68,"12,706,300","603,496,307"
"Jul 24, 2017",42.66,45.76,41.86,45.58,"12,102,100","676,020,929"
"Jul 23, 2017",44.64,44.78,41.44,42.67,"8,634,060","632,586,036"
"Jul 22, 2017",40.25,44.76,40.15,44.71,"9,028,920","662,604,859"
"Jul 21, 2017",40.55,41.43,39.53,40.34,"9,572,580","597,714,446"
"Jul 20, 2017",34.89,41.01,34.89,40.30,"14,905,700","596,855,726"
"Jul 19, 2017",36.47,37.59,34.37,35.06,"6,994,230","519,150,259"
"Jul 18, 2017",34.89,37.92,33.38,36.38,"9,949,120","538,526,217"
"Jul 17, 2017",29.47,34.98,29.46,34.83,"13,708,900","515,366,676"
"Jul 16, 2017",31.97,32.53,28.83,29.43,"12,434,100","435,296,058"
"Jul 15, 2017",35.57,35.57,31.37,32.09,"9,718,770","474,522,326"
"Jul 14, 2017",38.08,38.33,34.22,35.48,"9,558,140","524,447,861"
"Jul 13, 2017",40.43,40.74,37.20,38.23,"9,969,180","564,842,150"
"Jul 12, 2017",36.89,40.75,35.51,40.39,"15,785,600","596,652,689"
"Jul 11, 2017",40.25,40.73,35.34,37.14,"17,988,200","548,349,075"
"Jul 10, 2017",44.91,45.12,38.84,40.01,"14,633,300","590,550,614"
"Jul 09, 2017",46.69,47.00,44.56,44.85,"12,681,200","661,789,785"
"Jul 08, 2017",44.17,46.24,41.90,46.10,"15,801,900","680,032,221"
"Jul 07, 2017",50.11,50.65,43.84,44.25,"20,324,700","652,440,795"
"Jul 06, 2017",45.96,50.26,45.88,50.12,"23,168,300","738,747,984"
"Jul 05, 2017",45.30,46.90,44.13,45.72,"15,243,000","673,712,880"
"Jul 04, 2017",43.55,45.53,43.55,45.47,"14,850,800","669,788,144"
"Jul 03, 2017",42.51,44.14,41.82,43.63,"13,141,000","642,461,138"
"Jul 02, 2017",40.94,43.00,40.22,42.79,"12,774,300","629,999,041"
"Jul 01, 2017",43.71,43.98,39.80,40.96,"10,673,500","602,665,216"
