Date,Open*,High,Low,Close**,Volume,Market Cap
"Feb 28, 2014",579.70,584.14,545.17,549.26,"28,076,100","6,843,353,924"
"Feb 27, 2014",581.65,594.05,566.62,578.77,"25,540,800","7,208,406,719"
"Feb 26, 2014",537.04,603.80,532.58,582.69,"64,642,700","7,254,505,067"
"Feb 25, 2014",540.24,541.38,420.41,538.71,"126,314,000","6,704,461,434"
"Feb 24, 2014",606.04,607.61,538.70,546.32,"57,893,900","6,796,971,990"
"Feb 23, 2014",606.47,639.91,599.70,605.82,"31,434,400","7,534,325,867"
"Feb 22, 2014",574.24,614.48,558.58,605.42,"31,254,000","7,526,808,473"
"Feb 21, 2014",556.88,582.96,530.47,574.16,"47,308,100","7,135,603,064"
"Feb 20, 2014",623.09,627.73,556.14,556.14,"46,905,000","6,909,538,974"
"Feb 19, 2014",625.97,631.77,618.70,623.03,"13,897,800","7,737,830,115"
"Feb 18, 2014",627.16,645.76,612.54,626.60,"20,015,100","7,779,035,355"
"Feb 17, 2014",614.23,656.95,607.31,626.27,"31,948,400","7,772,386,462"
"Feb 16, 2014",651.30,665.10,584.17,616.63,"40,061,700","7,650,358,837"
"Feb 15, 2014",660.90,661.84,632.84,650.92,"26,709,200","8,072,579,656"
"Feb 14, 2014",601.17,691.72,541.04,661.99,"102,506,000","8,206,805,878"
"Feb 13, 2014",651.08,657.99,601.91,605.24,"38,588,100","7,500,376,176"
"Feb 12, 2014",672.38,672.90,643.04,651.72,"25,367,600","8,073,458,481"
"Feb 11, 2014",683.50,712.46,636.66,672.17,"72,745,200","8,323,817,195"
"Feb 10, 2014",681.32,703.71,550.50,681.03,"112,758,000","8,430,742,782"
"Feb 09, 2014",671.46,712.27,655.25,682.90,"39,311,400","8,451,228,950"
"Feb 08, 2014",699.57,721.82,661.87,673.92,"38,742,600","8,337,738,240"
"Feb 07, 2014",783.20,783.20,654.35,712.40,"113,643,000","8,810,607,000"
"Feb 06, 2014",815.59,819.81,770.59,781.55,"50,108,700","9,662,791,119"
"Feb 05, 2014",829.96,837.32,811.91,811.91,"22,395,100","10,034,436,286"
"Feb 04, 2014",823.77,840.17,820.94,827.96,"16,609,700","10,229,342,305"
"Feb 03, 2014",824.08,826.48,807.22,823.83,"13,940,100","10,174,774,202"
"Feb 02, 2014",832.90,844.72,820.67,825.37,"11,300,900","10,190,038,654"
"Feb 01, 2014",828.61,853.52,827.11,832.58,"19,668,700","10,275,202,812"
