Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 31, 2016",3.23,3.27,3.22,3.26,"1,704,440","147,087,412"
"Mar 30, 2016",3.23,3.28,3.20,3.22,"1,450,290","145,343,005"
"Mar 29, 2016",3.26,3.28,3.20,3.23,"1,764,730","145,609,600"
"Mar 28, 2016",3.30,3.30,3.26,3.26,"1,427,140","147,265,578"
"Mar 27, 2016",3.23,3.32,3.23,3.30,"2,089,890","149,001,614"
"Mar 26, 2016",3.23,3.24,3.21,3.23,"1,117,430","145,662,124"
"Mar 25, 2016",3.23,3.24,3.21,3.23,"1,200,290","145,548,074"
"Mar 24, 2016",3.25,3.25,3.22,3.22,"1,394,180","145,309,420"
"Mar 23, 2016",3.23,3.25,3.22,3.24,"1,703,040","146,080,442"
"Mar 22, 2016",3.20,3.24,3.20,3.23,"1,265,140","145,667,370"
"Mar 21, 2016",3.21,3.21,3.19,3.20,"507,480","144,097,530"
"Mar 20, 2016",3.18,3.21,3.18,3.21,"926,158","144,255,203"
"Mar 19, 2016",3.17,3.19,3.16,3.18,"617,579","142,981,208"
"Mar 18, 2016",3.31,3.31,3.15,3.17,"1,502,010","142,551,748"
"Mar 17, 2016",3.31,3.32,3.30,3.31,"1,038,460","148,686,780"
"Mar 16, 2016",3.31,3.32,3.30,3.31,"692,940","148,726,141"
"Mar 15, 2016",3.30,3.33,3.29,3.31,"747,107","148,514,732"
"Mar 14, 2016",3.31,3.33,3.29,3.30,"670,283","148,364,556"
"Mar 13, 2016",3.29,3.32,3.28,3.31,"1,140,930","148,492,590"
"Mar 12, 2016",3.39,3.39,3.27,3.29,"1,076,560","147,670,027"
"Mar 11, 2016",3.29,3.40,3.29,3.38,"1,804,450","151,865,739"
"Mar 10, 2016",3.28,3.29,3.25,3.29,"898,376","147,465,689"
"Mar 09, 2016",3.25,3.30,3.24,3.28,"1,247,320","147,072,987"
"Mar 08, 2016",3.27,3.28,3.23,3.25,"918,434","145,878,063"
"Mar 07, 2016",3.22,3.27,3.20,3.27,"1,057,270","146,439,563"
"Mar 06, 2016",3.19,3.25,3.17,3.22,"1,010,650","144,323,561"
"Mar 05, 2016",3.25,3.25,3.13,3.19,"1,689,010","142,955,542"
"Mar 04, 2016",3.32,3.35,3.25,3.25,"1,459,960","145,508,900"
"Mar 03, 2016",3.36,3.36,3.31,3.32,"1,812,040","148,741,681"
"Mar 02, 2016",3.43,3.44,3.37,3.37,"1,469,810","150,550,494"
"Mar 01, 2016",3.45,3.45,3.41,3.43,"1,133,580","153,541,990"
