Date,Open*,High,Low,Close**,Volume,Market Cap
"Feb 29, 2016",3.44,3.49,3.42,3.45,"1,431,670","154,086,523"
"Feb 28, 2016",3.41,3.47,3.36,3.44,"986,849","153,848,564"
"Feb 27, 2016",3.43,3.45,3.39,3.41,"731,107","152,504,035"
"Feb 26, 2016",3.37,3.42,3.32,3.42,"1,849,390","152,624,340"
"Feb 25, 2016",3.39,3.40,3.33,3.37,"1,556,360","150,285,617"
"Feb 24, 2016",3.40,3.42,3.32,3.37,"1,909,510","150,654,791"
"Feb 23, 2016",3.49,3.52,3.38,3.40,"2,416,790","151,588,515"
"Feb 22, 2016",3.47,3.51,3.43,3.48,"2,066,780","155,408,222"
"Feb 21, 2016",3.46,3.58,3.40,3.46,"3,518,950","154,494,927"
"Feb 20, 2016",3.27,3.50,3.26,3.46,"3,677,250","154,161,953"
"Feb 19, 2016",3.26,3.27,3.23,3.25,"1,780,240","144,969,129"
"Feb 18, 2016",3.25,3.27,3.23,3.25,"1,422,270","144,864,866"
"Feb 17, 2016",3.23,3.26,3.20,3.24,"1,857,460","144,357,019"
"Feb 16, 2016",3.20,3.22,3.18,3.21,"1,479,430","142,883,821"
"Feb 15, 2016",3.23,3.25,3.17,3.18,"1,521,240","141,654,638"
"Feb 14, 2016",3.15,3.21,3.15,3.21,"1,924,190","142,857,614"
"Feb 13, 2016",3.12,3.14,3.11,3.13,"1,313,500","139,212,762"
"Feb 12, 2016",3.09,3.12,3.08,3.11,"1,041,630","138,377,005"
"Feb 11, 2016",3.11,3.13,3.07,3.08,"1,263,660","136,722,154"
"Feb 10, 2016",3.09,3.13,3.08,3.10,"1,358,800","137,549,499"
"Feb 09, 2016",3.08,3.08,3.05,3.08,"1,197,280","136,900,626"
"Feb 08, 2016",3.09,3.11,3.06,3.06,"964,279","135,996,338"
"Feb 07, 2016",3.11,3.13,3.08,3.09,"1,168,970","137,008,440"
"Feb 06, 2016",3.15,3.15,3.08,3.10,"1,394,670","137,541,206"
"Feb 05, 2016",3.17,3.17,3.14,3.14,"1,211,900","139,198,718"
"Feb 04, 2016",3.06,3.18,3.06,3.16,"2,059,350","140,277,541"
"Feb 03, 2016",3.09,3.09,3.04,3.05,"1,406,560","135,123,741"
"Feb 02, 2016",3.09,3.10,3.07,3.08,"1,279,650","136,331,472"
"Feb 01, 2016",3.07,3.10,3.06,3.08,"1,502,430","136,343,190"
