Date,Open*,High,Low,Close**,Volume,Market Cap
"May 31, 2016",4.69,4.75,4.60,4.65,"5,187,600","214,037,925"
"May 30, 2016",4.63,4.70,4.59,4.67,"3,805,050","214,927,636"
"May 29, 2016",4.69,4.86,4.58,4.61,"7,351,420","212,056,239"
"May 28, 2016",4.51,4.83,4.51,4.70,"11,564,700","216,179,930"
"May 27, 2016",4.09,4.68,4.09,4.50,"10,821,100","206,943,475"
"May 26, 2016",4.05,4.10,4.03,4.08,"2,530,850","187,628,591"
"May 25, 2016",3.95,4.05,3.95,4.05,"2,765,530","185,880,078"
"May 24, 2016",3.96,3.98,3.94,3.95,"1,742,000","181,491,032"
"May 23, 2016",3.92,3.97,3.90,3.97,"1,868,020","182,201,135"
"May 22, 2016",3.96,3.99,3.90,3.93,"1,849,720","180,377,459"
"May 21, 2016",3.88,3.97,3.88,3.95,"1,938,010","181,461,170"
"May 20, 2016",3.82,3.92,3.82,3.88,"3,638,250","178,034,546"
"May 19, 2016",4.00,4.03,3.83,3.83,"3,380,010","175,796,778"
"May 18, 2016",3.98,4.04,3.98,4.00,"2,377,740","183,530,328"
"May 17, 2016",4.00,4.03,3.97,3.98,"2,663,640","182,548,346"
"May 16, 2016",4.06,4.16,3.98,4.01,"3,632,510","183,559,577"
"May 15, 2016",4.01,4.10,3.97,4.06,"2,096,570","186,088,260"
"May 14, 2016",3.93,4.05,3.92,4.01,"2,444,920","183,599,238"
"May 13, 2016",3.86,3.96,3.83,3.93,"2,624,100","179,678,967"
"May 12, 2016",3.88,3.90,3.80,3.86,"1,798,920","176,471,070"
"May 11, 2016",3.82,3.91,3.81,3.88,"2,458,140","177,585,322"
"May 10, 2016",4.06,4.12,3.80,3.82,"3,688,200","174,641,236"
"May 09, 2016",3.94,4.08,3.90,4.06,"3,120,940","185,430,676"
"May 08, 2016",3.94,3.94,3.89,3.94,"1,783,970","179,970,541"
"May 07, 2016",3.82,4.00,3.82,3.95,"3,278,610","180,613,961"
"May 06, 2016",3.72,3.82,3.71,3.82,"1,899,060","174,553,761"
"May 05, 2016",3.74,3.76,3.71,3.71,"1,702,120","169,555,640"
"May 04, 2016",3.74,3.78,3.73,3.75,"1,716,110","171,003,781"
"May 03, 2016",3.68,3.76,3.66,3.74,"2,363,200","170,686,505"
"May 02, 2016",3.71,3.78,3.64,3.68,"2,667,410","167,873,296"
"May 01, 2016",3.66,3.72,3.64,3.71,"1,911,590","168,960,181"
