Date,Open*,High,Low,Close**,Volume,Market Cap
"Apr 30, 2014",10.40,11.12,10.31,10.90,"7,592,450","304,767,508"
"Apr 29, 2014",10.12,10.47,9.98,10.40,"3,346,380","290,421,331"
"Apr 28, 2014",9.79,10.33,9.71,10.13,"3,537,560","282,568,098"
"Apr 27, 2014",10.56,10.65,9.88,9.92,"3,349,260","276,208,303"
"Apr 26, 2014",10.81,10.85,10.39,10.57,"3,156,250","294,189,037"
"Apr 25, 2014",12.54,12.55,10.47,10.79,"13,003,700","299,875,702"
"Apr 24, 2014",12.14,12.63,11.85,12.55,"4,714,780","348,458,555"
"Apr 23, 2014",12.04,12.21,11.98,12.13,"2,381,190","336,190,284"
"Apr 22, 2014",12.50,12.61,12.05,12.07,"2,969,980","334,153,548"
"Apr 21, 2014",12.56,12.93,12.35,12.50,"3,872,040","345,727,766"
"Apr 20, 2014",12.85,13.12,12.43,12.62,"6,195,390","348,851,803"
"Apr 19, 2014",12.05,12.89,11.64,12.82,"6,728,010","354,010,043"
"Apr 18, 2014",12.46,12.64,11.68,12.06,"8,631,860","332,602,568"
"Apr 17, 2014",13.42,13.74,12.22,12.52,"10,919,300","344,956,053"
"Apr 16, 2014",13.30,14.22,12.69,13.37,"17,352,400","368,220,847"
"Apr 15, 2014",11.46,13.44,11.31,13.25,"15,088,900","364,357,867"
"Apr 14, 2014",10.39,11.69,10.01,11.52,"11,481,300","316,445,266"
"Apr 13, 2014",10.66,10.96,9.68,10.31,"6,250,360","283,018,902"
"Apr 12, 2014",10.90,11.56,10.59,10.66,"7,740,060","292,402,809"
"Apr 11, 2014",8.42,11.37,8.18,10.95,"18,745,900","299,840,559"
"Apr 10, 2014",11.19,11.28,8.13,8.46,"15,032,300","231,476,834"
"Apr 09, 2014",11.38,11.51,11.15,11.19,"2,084,940","305,801,585"
"Apr 08, 2014",11.21,11.65,11.11,11.36,"3,435,810","310,191,371"
"Apr 07, 2014",11.66,11.93,11.26,11.26,"3,903,230","307,136,288"
"Apr 06, 2014",11.18,11.90,11.09,11.64,"5,093,420","317,257,057"
"Apr 05, 2014",11.00,11.24,10.86,11.19,"3,023,900","304,757,612"
"Apr 04, 2014",11.07,11.39,10.72,11.02,"5,857,970","299,786,553"
"Apr 03, 2014",11.26,11.26,10.29,11.05,"10,985,500","300,151,376"
"Apr 02, 2014",13.09,13.37,10.94,11.29,"14,966,900","306,358,106"
"Apr 01, 2014",12.77,13.67,12.76,13.13,"7,346,120","355,878,160"
