Date,Open*,High,Low,Close**,Volume,Market Cap
"Jul 31, 2015",4.58,4.77,4.51,4.64,"4,640,650","191,604,921"
"Jul 30, 2015",4.79,4.79,4.51,4.58,"5,420,630","188,865,531"
"Jul 29, 2015",5.05,5.10,4.72,4.80,"6,609,040","197,797,602"
"Jul 28, 2015",4.67,5.14,4.65,5.06,"10,629,300","208,405,880"
"Jul 27, 2015",4.68,4.74,4.59,4.67,"5,164,400","192,321,753"
"Jul 26, 2015",4.63,4.75,4.44,4.66,"7,946,990","191,810,924"
"Jul 25, 2015",4.60,4.88,4.47,4.63,"10,288,900","190,428,800"
"Jul 24, 2015",3.79,4.73,3.76,4.60,"14,874,300","189,050,588"
"Jul 23, 2015",3.83,3.85,3.76,3.78,"2,177,740","155,356,221"
"Jul 22, 2015",3.78,3.84,3.68,3.82,"2,892,200","156,852,118"
"Jul 21, 2015",3.93,4.01,3.77,3.77,"4,431,730","154,382,448"
"Jul 20, 2015",3.77,3.94,3.73,3.94,"4,242,190","161,331,556"
"Jul 19, 2015",4.00,4.07,3.66,3.77,"4,693,260","154,157,208"
"Jul 18, 2015",3.78,4.23,3.78,4.00,"8,471,440","163,706,198"
"Jul 17, 2015",3.72,3.93,3.55,3.79,"9,454,510","154,811,814"
"Jul 16, 2015",4.20,4.27,3.30,3.69,"17,295,300","150,740,904"
"Jul 15, 2015",4.65,4.72,4.14,4.21,"7,539,760","172,044,272"
"Jul 14, 2015",4.68,4.89,4.48,4.65,"5,418,730","189,699,025"
"Jul 13, 2015",5.30,5.30,4.32,4.68,"14,296,100","190,780,355"
"Jul 12, 2015",4.39,5.38,4.35,5.29,"19,203,600","215,380,645"
"Jul 11, 2015",4.48,4.79,3.71,4.37,"19,647,300","178,043,578"
"Jul 10, 2015",7.53,8.73,4.07,4.51,"62,612,600","183,263,358"
"Jul 09, 2015",6.36,7.83,6.00,7.54,"42,419,800","306,383,049"
"Jul 08, 2015",5.25,6.39,5.14,6.36,"23,234,900","258,413,848"
"Jul 07, 2015",5.44,5.48,4.90,5.23,"13,570,800","212,489,358"
"Jul 06, 2015",4.95,5.69,4.67,5.42,"22,969,200","219,730,727"
"Jul 05, 2015",4.13,4.95,4.04,4.95,"14,069,300","200,743,173"
"Jul 04, 2015",4.12,4.14,4.06,4.11,"3,939,060","166,600,862"
"Jul 03, 2015",4.06,4.13,4.06,4.12,"4,281,280","166,548,877"
"Jul 02, 2015",3.93,4.16,3.92,4.07,"6,288,460","164,402,970"
"Jul 01, 2015",4.09,4.11,3.84,3.92,"7,113,180","158,580,552"
